image_name,runtime,ressource_limit,mean,std,konf_intervall_unten,konf_intervall_oben,abweichung,type,docker_abweichung
busybox,default,default,"0,84","0,17","0,79","0,89","5,78",up,"100,0"
busybox,default,max,"0,8","0,04","0,78","0,81","1,35",up,"100,0"
busybox,default,min,"0,81","0,05","0,79","0,82","1,79",up,"100,0"
busybox,kata,default,"1,39","0,04","1,38","1,41","0,78",up,"166,29"
busybox,kata,max,"1,82","0,08","1,79","1,84","1,21",up,"228,39"
busybox,kata,min,"1,47","0,14","1,43","1,52","2,81",up,"182,19"
busybox,katafc,default,"2,66","0,14","2,62","2,7","1,54",up,"317,63"
busybox,katafc,max,"2,72","0,17","2,67","2,77","1,78",up,"342,11"
busybox,katafc,min,"2,6","0,06","2,58","2,61","0,66",up,"320,92"
busybox,runsc,default,"0,85","0,06","0,84","0,87","1,96",up,"101,73"
busybox,runsc,max,"0,85","0,04","0,83","0,86","1,34",up,"106,35"
busybox,runsc,min,"0,84","0,04","0,83","0,85","1,37",up,"103,79"
go-httpd,default,default,"0,81","0,04","0,8","0,82","1,24",up,"100,0"
go-httpd,default,max,"0,84","0,08","0,82","0,87","2,78",up,"100,0"
go-httpd,default,min,"0,81","0,06","0,79","0,82","2,06",up,"100,0"
go-httpd,kata,default,"1,3","0,11","1,27","1,34","2,35",up,"160,53"
go-httpd,kata,max,"1,72","0,08","1,69","1,74","1,4",up,"203,68"
go-httpd,kata,min,"1,37","0,08","1,35","1,39","1,76",up,"169,6"
go-httpd,katafc,default,"2,58","0,1","2,55","2,61","1,11",up,"317,65"
go-httpd,katafc,max,"2,55","0,11","2,52","2,58","1,28",up,"302,71"
go-httpd,katafc,min,"2,51","0,06","2,5","2,53","0,67",up,"311,18"
go-httpd,runnc,default,"2,79","0,28","2,71","2,87","2,84",up,"343,08"
go-httpd,runnc,max,"2,79","0,32","2,7","2,88","3,25",up,"330,93"
go-httpd,runnc,min,"2,81","0,43","2,69","2,93","4,36",up,"347,82"
go-httpd,runsc,default,"0,84","0,05","0,83","0,86","1,55",up,"103,79"
go-httpd,runsc,max,"0,86","0,06","0,84","0,87","1,92",up,"101,56"
go-httpd,runsc,min,"0,86","0,12","0,82","0,89","4,17",up,"105,9"
httpd,default,default,"0,82","0,04","0,8","0,83","1,5",up,"100,0"
httpd,default,max,"0,81","0,04","0,8","0,82","1,4",up,"100,0"
httpd,default,min,"0,81","0,04","0,8","0,82","1,38",up,"100,0"
httpd,kata,default,"1,3","0,04","1,29","1,31","0,79",up,"158,96"
httpd,kata,max,"1,71","0,06","1,69","1,73","1,07",up,"211,24"
httpd,kata,min,"1,34","0,04","1,33","1,35","0,92",up,"165,27"
httpd,katafc,default,"2,53","0,06","2,51","2,54","0,66",up,"309,97"
httpd,katafc,max,"2,52","0,05","2,5","2,53","0,55",up,"310,88"
httpd,katafc,min,"2,51","0,04","2,5","2,52","0,45",up,"309,33"
httpd,runsc,default,"0,85","0,05","0,83","0,86","1,85",up,"103,94"
httpd,runsc,max,"0,85","0,04","0,83","0,86","1,28",up,"104,42"
httpd,runsc,min,"0,85","0,03","0,85","0,86","1,01",up,"105,3"
mongo,default,default,"0,84","0,04","0,83","0,85","1,46",up,"100,0"
mongo,default,max,"0,83","0,04","0,82","0,84","1,35",up,"100,0"
mongo,default,min,"0,82","0,04","0,81","0,83","1,48",up,"100,0"
mongo,kata,default,"1,32","0,04","1,31","1,33","0,85",up,"157,51"
mongo,kata,max,"1,75","0,07","1,73","1,77","1,16",up,"211,82"
mongo,kata,min,"1,39","0,04","1,38","1,4","0,89",up,"169,1"
