runtime,image_name,ressource_limit,number_of_targets,std,mean,abweichung_in_prozent,konf_intervall_unten,konf_intervall_oben,docker_abweichung
kata,go-httpd,max,5,168.58,33478.07,0.14,33429.88,33526.25,126.32
kata,go-httpd,max,8,141.89,35311.97,0.11,35271.41,35352.52,128.24
kata,go-httpd,max,13,431.98,39617.38,0.31,39493.91,39740.84,136.06
kata,go-httpd,max,21,1081.96,47438.85,0.65,47129.61,47748.09,148.21
kata,go-httpd,min,1,874.06,18388.69,1.36,18138.87,18638.51,683.19
kata,go-httpd,min,2,232.26,26437.41,0.25,26371.03,26503.79,148.86
kata,go-httpd,min,3,146.93,30885.77,0.14,30843.77,30927.76,122.98
kata,go-httpd,min,5,372.83,33064.57,0.32,32958.01,33171.13,132.59
kata,go-httpd,min,8,486.8,38344.09,0.36,38204.95,38483.22,146.5
kata,go-httpd,min,13,1029.54,48450.15,0.61,48155.9,48744.41,173.96
kata,go-httpd,min,21,1711.86,63265.87,0.77,62776.6,63755.15,204.95
kata,httpd,default,1,297.7,2823.31,3.01,2738.22,2908.39,13.07
kata,httpd,default,2,210.31,5042.42,1.19,4982.31,5102.53,18.92
kata,httpd,default,3,271.58,7297.08,1.06,7219.46,7374.7,29.83
kata,httpd,default,5,350.44,10558.84,0.95,10458.68,10659.0,43.33
kata,httpd,default,8,219.09,8633.64,0.73,8571.02,8696.26,34.06
kata,httpd,default,13,248.26,8819.15,0.8,8748.19,8890.1,33.02
kata,httpd,default,21,286.59,10126.15,0.81,10044.24,10208.07,34.76
kata,httpd,max,1,263.37,2520.77,2.99,2445.49,2596.05,11.7
kata,httpd,max,2,319.87,3719.89,2.46,3628.47,3811.32,14.03
kata,httpd,max,3,355.85,5157.5,1.97,5055.79,5259.2,21.2
kata,httpd,max,5,348.84,8072.02,1.24,7972.31,8171.72,33.3
kata,httpd,max,8,394.8,12770.82,0.88,12657.98,12883.66,50.81
kata,httpd,max,13,308.27,19602.28,0.45,19514.17,19690.39,73.94
kata,httpd,max,21,312.55,25404.94,0.35,25315.61,25494.28,87.48
kata,httpd,min,1,353.24,3991.58,2.53,3890.61,4092.54,278.28
kata,httpd,min,2,543.8,7347.42,2.12,7192.0,7502.85,222.73
kata,httpd,min,3,521.64,9925.46,1.5,9776.37,10074.56,189.56
kata,httpd,min,5,490.5,14072.38,1.0,13932.18,14212.57,65.94
kata,httpd,min,8,331.74,18914.21,0.5,18819.39,19009.03,84.4
kata,httpd,min,13,300.04,24253.21,0.35,24167.46,24338.97,101.23
kata,httpd,min,21,355.46,28017.27,0.36,27915.67,28118.87,104.8
kata,nginx,default,1,664.12,6136.77,3.09,5946.96,6326.58,33.48
kata,nginx,default,2,601.83,10514.81,1.64,10342.79,10686.82,44.75
kata,nginx,default,3,865.95,15763.69,1.57,15516.19,16011.19,69.22
kata,nginx,default,5,397.61,19450.87,0.58,19337.23,19564.51,83.04
kata,nginx,default,8,522.11,16064.85,0.93,15915.63,16214.08,64.1
kata,nginx,default,13,426.33,13995.94,0.87,13874.09,14117.79,52.11
kata,nginx,default,21,416.02,15675.84,0.76,15556.93,15794.74,51.75
kata,nginx,max,1,1203.83,3589.02,9.59,3244.95,3933.09,19.54
kata,nginx,max,2,963.88,6106.45,4.51,5830.96,6381.94,25.49
kata,nginx,max,3,936.5,7868.62,3.4,7600.96,8136.29,33.93
kata,nginx,max,5,852.94,10971.83,2.22,10728.05,11215.61,46.19
kata,nginx,max,8,942.84,14967.42,1.8,14697.94,15236.89,59.27
kata,nginx,max,13,1232.17,20568.79,1.71,20216.62,20920.96,76.09
kata,nginx,max,21,984.24,29640.28,0.95,29358.97,29921.59,97.57
kata,nginx,min,1,1184.78,10228.59,3.31,9889.97,10567.22,56.54
kata,nginx,min,2,799.62,15261.88,1.5,15033.34,15490.42,65.09
kata,nginx,min,3,774.96,17806.52,1.24,17585.03,18028.01,78.1
kata,nginx,min,5,696.95,21964.31,0.91,21765.11,22163.51,94.09
kata,nginx,min,8,599.18,26168.76,0.65,25997.51,26340.02,105.14
kata,nginx,min,13,578.35,30876.24,0.54,30710.93,31041.54,115.56
kata,nginx,min,21,1104.24,38007.91,0.83,37692.3,38323.51,126.55
kata,python-tornado,default,1,124.38,1738.01,2.05,1702.46,1773.56,95.73
kata,python-tornado,default,2,82.37,3371.02,0.7,3347.48,3394.56,94.59
kata,python-tornado,default,3,151.25,4705.39,0.92,4662.16,4748.62,90.3
kata,python-tornado,default,5,190.5,6308.23,0.86,6253.78,6362.68,82.61
kata,python-tornado,default,8,90.98,6323.74,0.41,6297.74,6349.75,76.26
kata,python-tornado,default,13,82.05,6273.31,0.37,6249.86,6296.76,68.6
kata,python-tornado,default,21,127.21,6975.62,0.52,6939.26,7011.97,66.3
kata,python-tornado,max,1,158.98,1888.54,2.41,1843.1,1933.98,102.83
kata,python-tornado,max,2,243.99,3537.25,1.97,3467.51,3606.98,98.93
kata,python-tornado,max,3,239.88,4978.75,1.38,4910.19,5047.31,95.36
kata,python-tornado,max,5,55.55,5978.14,0.27,5962.27,5994.02,78.06
kata,python-tornado,max,8,130.42,5065.66,0.74,5028.39,5102.94,61.16
kata,python-tornado,max,13,95.37,4817.65,0.57,4790.4,4844.91,52.92
kata,python-tornado,max,21,96.0,5106.9,0.54,5079.47,5134.34,48.61
kata,python-tornado,min,1,163.68,1845.48,2.53,1798.7,1892.26,101.04
kata,python-tornado,min,2,186.82,3491.61,1.53,3438.21,3545.0,97.81
kata,python-tornado,min,3,294.34,4896.05,1.72,4811.92,4980.17,93.54
kata,python-tornado,min,5,104.29,5984.51,0.5,5954.71,6014.32,78.17
kata,python-tornado,min,8,110.81,4881.24,0.65,4849.57,4912.91,58.91
kata,python-tornado,min,13,77.06,4653.53,0.47,4631.51,4675.56,51.14
kata,python-tornado,min,21,59.34,4959.67,0.34,4942.71,4976.63,47.01
kata,tomcat,default,1,667.42,7950.89,2.4,7760.13,8141.65,48.13
kata,tomcat,default,2,535.54,14552.7,1.05,14399.64,14705.77,56.9
kata,tomcat,default,3,789.02,19118.06,1.18,18892.54,19343.57,80.53
kata,tomcat,default,5,617.34,23051.83,0.77,22875.39,23228.28,105.81
kata,tomcat,default,8,518.67,21810.89,0.68,21662.65,21959.14,99.66
kata,tomcat,default,13,579.8,20165.58,0.82,19999.87,20331.3,89.67
kata,tomcat,default,21,470.6,20505.74,0.66,20371.24,20640.24,86.92
kata,tomcat,max,1,155.41,17032.26,0.26,16987.85,17076.68,107.45
kata,tomcat,max,2,233.09,24844.07,0.27,24777.45,24910.69,96.89
kata,tomcat,max,3,333.5,27125.24,0.35,27029.92,27220.56,114.27
kata,tomcat,max,5,386.94,27593.21,0.4,27482.62,27703.8,126.56
kata,tomcat,max,8,330.13,25598.7,0.37,25504.34,25693.06,117.38
kata,tomcat,max,13,470.78,23348.12,0.58,23213.56,23482.67,104.51
kata,tomcat,max,21,404.02,17395.57,0.66,17280.09,17511.04,75.59
kata,tomcat,min,1,872.22,9048.32,2.76,8799.03,9297.62,1001.95
kata,tomcat,min,2,6143.8,8865.95,19.81,7109.96,10621.93,397.18
kata,tomcat,min,3,9260.3,13932.25,19.0,11285.52,16578.98,403.89
kata,tomcat,min,5,4530.31,23166.34,5.59,21871.51,24461.17,109.93
kata,tomcat,min,8,868.16,24972.45,0.99,24724.31,25220.58,116.57
kata,tomcat,min,13,679.3,24802.69,0.78,24608.54,24996.85,112.73
kata,tomcat,min,21,702.99,23152.98,0.87,22952.06,23353.91,95.48
katafc,go-httpd,default,1,205.49,10020.57,0.59,9961.83,10079.3,47.69
katafc,go-httpd,default,2,161.14,17376.48,0.27,17330.42,17422.54,64.85
