"runtime","image_name","ressource_limit","repeat","gflops","filepath"
"kata","linpack","default","29","1.2180e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_29/linpack.txt"
"kata","linpack","default","3","1.2201e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_3/linpack.txt"
"kata","linpack","default","30","1.2189e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_30/linpack.txt"
"kata","linpack","default","31","1.2193e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_31/linpack.txt"
"kata","linpack","default","32","1.2179e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_32/linpack.txt"
"kata","linpack","default","33","1.2191e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_33/linpack.txt"
"kata","linpack","default","34","1.2192e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_34/linpack.txt"
"kata","linpack","default","35","1.2191e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_35/linpack.txt"
"kata","linpack","default","4","1.2185e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_4/linpack.txt"
"kata","linpack","default","5","1.2178e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_5/linpack.txt"
"kata","linpack","default","6","1.2185e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_6/linpack.txt"
"kata","linpack","default","7","1.2191e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_7/linpack.txt"
"kata","linpack","default","8","1.2182e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_8/linpack.txt"
"kata","linpack","default","9","1.2193e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_9/linpack.txt"
"katafc","linpack","default","1","1.2025e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_1/linpack.txt"
"katafc","linpack","default","10","1.2029e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_10/linpack.txt"
"katafc","linpack","default","11","1.2036e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_11/linpack.txt"
"katafc","linpack","default","12","1.2037e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_12/linpack.txt"
"katafc","linpack","default","13","1.2009e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_13/linpack.txt"
"katafc","linpack","default","14","1.2031e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_14/linpack.txt"
"katafc","linpack","default","15","1.2043e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_15/linpack.txt"
"katafc","linpack","default","16","1.2019e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/katafc/linpack/repeat_16/linpack.txt"
