runtime,image_name,ressource_limit,number_of_targets,std,mean,abweichung_in_prozent,konf_intervall_unten,konf_intervall_oben,docker_abweichung
kata,go-httpd,default,8,"12,7","1814,69","0,2","1811,06","1818,32","183,51"
kata,go-httpd,default,13,"29,59","2806,31","0,3","2797,86","2814,77","164,79"
kata,go-httpd,default,21,"137,88","4816,94","0,82","4777,53","4856,35","150,4"
kata,go-httpd,max,1,"8,37","748,31","0,32","745,92","750,71","253,15"
kata,go-httpd,max,2,"9,06","1267,63","0,2","1265,04","1270,22","355,45"
kata,go-httpd,max,3,"9,95","1794,54","0,16","1791,7","1797,39","426,86"
kata,go-httpd,max,5,"20,88","2857,46","0,21","2851,49","2863,43","503,02"
kata,go-httpd,max,8,"27,72","4433,49","0,18","4425,56","4441,41","502,09"
kata,go-httpd,max,13,"60,8","7149,03","0,24","7131,65","7166,41","444,17"
kata,go-httpd,max,21,"190,59","11983,26","0,45","11928,78","12037,73","368,34"
kata,go-httpd,min,1,"12,49","504,49","0,71","500,91","508,06","176,89"
kata,go-httpd,min,2,"14,54","777,34","0,53","773,19","781,5","226,82"
kata,go-httpd,min,3,"17,35","1046,4","0,47","1041,44","1051,36","251,94"
kata,go-httpd,min,5,"32,19","1550,57","0,59","1541,37","1559,77","274,18"
kata,go-httpd,min,8,"29,81","2300,11","0,37","2291,6","2308,63","264,42"
kata,go-httpd,min,13,"52,7","3618,74","0,42","3603,68","3633,81","227,88"
kata,go-httpd,min,21,"139,15","6256,69","0,64","6216,91","6296,46","196,11"
kata,httpd,default,1,"7,29","454,51","0,46","452,43","456,6","142,99"
kata,httpd,default,2,"8,88","677,54","0,37","675,01","680,08","164,94"
kata,httpd,default,3,"8,97","917,69","0,28","915,12","920,25","181,23"
kata,httpd,default,5,"24,18","1427,4","0,48","1420,49","1434,31","200,77"
kata,httpd,default,8,"47,77","2267,0","0,6","2253,35","2280,65","204,85"
kata,httpd,default,13,"97,09","3759,17","0,74","3731,42","3786,92","192,72"
kata,httpd,default,21,"200,92","6412,86","0,9","6355,43","6470,28","163,98"
kata,httpd,max,1,"404,27","2015,11","5,73","1899,57","2130,66","286,06"
kata,httpd,max,2,"19,32","2211,49","0,25","2205,96","2217,01","311,03"
kata,httpd,max,3,"13,26","2723,03","0,14","2719,24","2726,82","359,01"
kata,httpd,max,5,"35,56","3863,26","0,26","3853,09","3873,42","406,26"
kata,httpd,max,8,"53,98","5602,11","0,28","5586,69","5617,54","420,94"
kata,httpd,max,13,"104,09","8709,74","0,34","8679,99","8739,49","417,85"
kata,httpd,max,21,"202,66","13837,51","0,42","13779,59","13895,44","341,12"
kata,httpd,min,1,"8,84","511,94","0,49","509,42","514,47","165,41"
kata,httpd,min,2,"13,82","789,03","0,5","785,08","792,98","201,44"
kata,httpd,min,3,"12,85","1086,86","0,34","1083,18","1090,53","218,94"
kata,httpd,min,5,"29,2","1715,37","0,49","1707,03","1723,72","241,24"
kata,httpd,min,8,"54,62","2766,26","0,56","2750,65","2781,87","248,27"
kata,httpd,min,13,"124,11","4725,89","0,75","4690,41","4761,36","242,2"
kata,httpd,min,21,"287,13","8403,09","0,98","8321,02","8485,15","216,16"
kata,nginx,default,1,"413,23","1945,31","6,07","1827,21","2063,42","86,64"
kata,nginx,default,2,"29,61","1728,89","0,49","1720,42","1737,35","103,85"
kata,nginx,default,3,"8,46","1878,91","0,13","1876,5","1881,33","116,17"
kata,nginx,default,5,"25,67","2300,86","0,32","2293,52","2308,2","137,95"
kata,nginx,default,8,"34,34","2978,31","0,33","2968,5","2988,13","162,81"
kata,nginx,default,13,"74,36","4292,54","0,5","4271,29","4313,8","189,91"
kata,nginx,default,21,"184,11","6760,63","0,78","6708,01","6813,25","205,13"
kata,nginx,max,1,"857,85","2532,26","9,68","2287,07","2777,44","121,17"
kata,nginx,max,2,"41,67","2267,29","0,53","2255,38","2279,2","144,76"
kata,nginx,max,3,"10,85","2713,06","0,11","2709,96","2716,16","174,67"
kata,nginx,max,5,"22,39","3728,4","0,17","3722,0","3734,8","225,88"
kata,nginx,max,8,"37,3","5284,17","0,2","5273,51","5294,83","295,32"
kata,nginx,max,13,"59,13","7968,89","0,21","7951,98","7985,79","354,13"
kata,nginx,max,21,"140,95","12547,17","0,32","12506,89","12587,46","372,26"
kata,nginx,min,1,"344,05","1799,51","5,46","1701,18","1897,85","84,28"
kata,nginx,min,2,"28,15","1714,97","0,47","1706,93","1723,02","113,82"
kata,nginx,min,3,"26,39","1935,91","0,39","1928,37","1943,46","129,42"
kata,nginx,min,5,"27,54","2459,34","0,32","2451,47","2467,22","154,81"
kata,nginx,min,8,"38,73","3286,71","0,34","3275,65","3297,78","190,21"
kata,nginx,min,13,"69,91","4761,66","0,42","4741,67","4781,64","219,09"
kata,nginx,min,21,"114,07","7278,94","0,45","7246,34","7311,55","224,72"
kata,python-tornado,default,1,"186,54","1070,46","4,98","1017,14","1123,77","52,59"
kata,python-tornado,default,2,"7,38","1158,34","0,18","1156,23","1160,45","75,36"
kata,python-tornado,default,3,"10,56","1385,06","0,22","1382,04","1388,08","90,7"
kata,python-tornado,default,5,"22,88","1874,86","0,35","1868,32","1881,4","113,3"
kata,python-tornado,default,8,"37,16","2644,89","0,4","2634,26","2655,51","137,67"
kata,python-tornado,default,13,"68,52","3977,37","0,49","3957,79","3996,96","158,66"
kata,python-tornado,default,21,"156,51","6439,49","0,69","6394,75","6484,22","175,0"
kata,python-tornado,max,1,"764,15","2433,71","8,97","2215,31","2652,12","123,04"
kata,python-tornado,max,2,"49,05","2178,37","0,64","2164,35","2192,39","148,2"
kata,python-tornado,max,3,"14,35","2651,8","0,15","2647,7","2655,9","179,19"
kata,python-tornado,max,5,"26,43","3751,57","0,2","3744,02","3759,12","230,28"
kata,python-tornado,max,8,"25,29","5365,34","0,13","5358,12","5372,57","281,13"
kata,python-tornado,max,13,"54,87","8123,91","0,19","8108,23","8139,6","327,93"
kata,python-tornado,max,21,"107,34","12663,91","0,24","12633,23","12694,59","344,99"
kata,python-tornado,min,1,"228,01","1270,4","5,13","1205,23","1335,57","70,28"
kata,python-tornado,min,2,"18,26","1328,06","0,39","1322,84","1333,28","96,61"
kata,python-tornado,min,3,"12,03","1586,34","0,22","1582,91","1589,78","114,12"
kata,python-tornado,min,5,"24,35","2185,91","0,32","2178,96","2192,87","140,98"
kata,python-tornado,min,8,"33,4","3060,63","0,31","3051,08","3070,18","167,15"
kata,python-tornado,min,13,"65,9","4587,31","0,41","4568,48","4606,15","190,87"
kata,python-tornado,min,21,"111,27","7174,51","0,44","7142,71","7206,32","198,67"
kata,tomcat,default,1,"612,93","2439,94","7,18","2264,76","2615,13","115,23"
kata,tomcat,default,2,"35,29","2197,97","0,46","2187,89","2208,06","121,98"
kata,tomcat,default,3,"22,44","2435,46","0,26","2429,04","2441,87","126,62"
kata,tomcat,default,5,"16,38","2988,97","0,16","2984,29","2993,65","127,24"
kata,tomcat,default,8,"44,58","4034,23","0,32","4021,49","4046,97","130,94"
kata,tomcat,default,13,"134,66","6245,29","0,62","6206,8","6283,77","140,79"
kata,tomcat,default,21,"222,95","9913,63","0,64","9849,91","9977,35","139,76"
kata,tomcat,max,1,"394,79","2226,4","5,07","2113,56","2339,24","93,56"
kata,tomcat,max,2,"21,2","2657,91","0,23","2651,86","2663,97","136,32"
kata,tomcat,max,3,"22,03","3327,06","0,19","3320,76","3333,35","159,13"
kata,tomcat,max,5,"31,24","4726,31","0,19","4717,38","4735,24","184,09"
kata,tomcat,max,8,"50,03","6908,89","0,21","6894,59","6923,19","208,21"
kata,tomcat,max,13,"100,6","10681,71","0,27","10652,96","10710,47","228,17"
kata,tomcat,max,21,"38,35","15612,86","0,07","15601,89","15623,82","213,12"
kata,tomcat,min,1,"416,99","1961,2","6,08","1842,02","2080,38","102,71"
kata,tomcat,min,2,"17,06","1982,46","0,25","1977,58","1987,33","132,48"
kata,tomcat,min,3,"11,3","2315,63","0,14","2312,4","2318,86","150,47"
kata,tomcat,min,5,"34,22","3038,43","0,32","3028,65","3048,21","169,8"
kata,tomcat,min,8,"32,52","4167,46","0,22","4158,16","4176,75","178,3"
kata,tomcat,min,13,"118,8","6619,17","0,51","6585,22","6653,13","194,29"
kata,tomcat,min,21,"237,35","10833,29","0,63","10765,45","10901,12","194,98"
katafc,go-httpd,default,1,"8,02","297,46","0,77","295,16","299,75","71,09"
katafc,go-httpd,default,2,"6,28","358,77","0,5","356,98","360,57","75,88"
katafc,go-httpd,default,3,"8,19","430,57","0,54","428,23","432,91","81,08"
katafc,go-httpd,default,5,"21,6","564,26","1,09","558,08","570,43","84,21"
katafc,go-httpd,default,8,"44,16","925,83","1,36","913,21","938,45","93,63"
katafc,go-httpd,default,13,"109,29","1712,46","1,82","1681,22","1743,69","100,56"
katafc,go-httpd,default,21,"263,62","3481,34","2,16","3406,0","3556,69","108,7"
katafc,go-httpd,max,1,"3,74","299,46","0,36","298,39","300,53","101,31"
katafc,go-httpd,max,2,"11,7","360,91","0,93","357,57","364,26","101,2"
katafc,go-httpd,max,3,"11,09","429,37","0,74","426,2","432,54","102,13"
katafc,go-httpd,max,5,"18,02","584,03","0,88","578,88","589,18","102,81"
katafc,go-httpd,max,8,"48,82","954,31","1,46","940,36","968,27","108,08"
katafc,go-httpd,max,13,"116,9","1784,91","1,87","1751,5","1818,32","110,9"
katafc,go-httpd,max,21,"266,92","3596,54","2,12","3520,25","3672,83","110,55"
katafc,go-httpd,min,1,"7,23","295,11","0,7","293,05","297,18","103,47"
katafc,go-httpd,min,2,"8,52","353,37","0,69","350,94","355,81","103,11"
katafc,go-httpd,min,3,"12,25","426,23","0,82","422,73","429,73","102,62"
katafc,go-httpd,min,5,"15,97","566,54","0,81","561,98","571,11","100,18"
katafc,go-httpd,min,8,"45,76","933,6","1,4","920,52","946,68","107,33"
katafc,go-httpd,min,13,"259,92","1892,03","3,93","1817,74","1966,32","119,14"
katafc,go-httpd,min,21,"188,2","3468,8","1,55","3415,01","3522,59","108,73"
katafc,httpd,default,1,"7,26","294,4","0,7","292,32","296,48","92,62"
katafc,httpd,default,2,"6,02","357,43","0,48","355,71","359,15","87,01"
katafc,httpd,default,3,"9,17","433,43","0,6","430,81","436,05","85,6"
katafc,httpd,default,5,"20,84","612,63","0,97","606,67","618,58","86,17"
katafc,httpd,default,8,"37,6","928,6","1,16","917,85","939,35","83,91"
katafc,httpd,default,13,"74,48","1497,06","1,42","1475,77","1518,35","76,75"
katafc,httpd,default,21,"130,0","2520,09","1,47","2482,93","2557,24","64,44"
katafc,httpd,max,1,"442,06","1969,0","6,42","1842,65","2095,35","279,52"
katafc,httpd,max,2,"13,43","1653,63","0,23","1649,79","1657,47","232,57"
katafc,httpd,max,3,"12,98","1677,46","0,22","1673,75","1681,17","221,16"
katafc,httpd,max,5,"25,02","1827,23","0,39","1820,08","1834,38","192,15"
katafc,httpd,max,8,"39,38","2113,97","0,53","2102,72","2125,23","158,84"
katafc,httpd,max,13,"55,25","2596,43","0,61","2580,64","2612,22","124,56"
katafc,httpd,max,21,"117,91","3520,51","0,96","3486,82","3554,21","86,79"
katafc,httpd,min,1,"6,53","302,89","0,62","301,02","304,75","97,87"
katafc,httpd,min,2,"7,28","358,31","0,58","356,23","360,39","91,48"
katafc,httpd,min,3,"6,41","417,34","0,44","415,51","419,18","84,07"
katafc,httpd,min,5,"27,66","613,49","1,29","605,58","621,39","86,28"
katafc,httpd,min,8,"38,68","933,57","1,18","922,52","944,63","83,79"
katafc,httpd,min,13,"73,64","1500,43","1,4","1479,38","1521,48","76,9"
katafc,httpd,min,21,"138,84","2531,11","1,57","2491,43","2570,8","65,11"
katafc,nginx,default,1,"437,32","1826,91","6,84","1701,92","1951,91","81,36"
katafc,nginx,default,2,"16,23","1495,94","0,31","1491,3","1500,58","89,86"
katafc,nginx,default,3,"9,38","1513,71","0,18","1511,03","1516,39","93,59"
katafc,nginx,default,5,"15,16","1605,37","0,27","1601,04","1609,7","96,25"
katafc,nginx,default,8,"31,52","1848,91","0,49","1839,91","1857,92","101,07"
katafc,nginx,default,13,"78,4","2416,34","0,93","2393,93","2438,75","106,91"
